,Brewery,Beer Name,Style,ABV,IBU,SRM
0,Milwaukee Brewing Company,"""Admiral"" Stache",Baltic-Style Porter,7.0,23.0,37
1,GAEL Brewing Company,"""Ah Me Joy"" Porter",Robust Porter,5.4,51.0,40
2,Bow & Arrow Brewing Co,"""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series",American-Style Pale Ale,5.8,51.0,8
3,Bow & Arrow Brewing Co,"""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series",American-Style Pale Ale,5.4,54.0,11
4,Urban Legend Brewing Company,"""God Country"" Kolsch",German-Style Kölsch / Köln-Style Kölsch,5.6,28.2,5
5,Bow & Arrow Brewing Co,"""Jemez Field Notes"" Golden Lager",Golden or Blonde Ale,4.9,20.0,5
6,Roundhouse Brewery,#10 Hefewiezen,South German-Style Hefeweizen / Hefeweissbier,5.1,11.0,4
7,Magic Hat Brewing Company,#9,American-Style Pale Ale,5.1,20.0,9
8,Sactown Union Brewery,#KoLSCH,German-Style Kölsch / Köln-Style Kölsch,4.8,27.0,3
9,Starpoint Brewing,'74 - '75,American-Style Märzen / Oktoberfest,5.8,28.0,13
10,Smartmouth Brewing Company,'Inappropriate' Cream Ale,American-Style Cream Ale or Lager,5.3,18.0,5
11,NoDa Brewing Company,'tis the Saison,French & Belgian-Style Saison,7.0,30.0,7
12,Prairie Sun Brewery,(306) URBAN WHEAT BEER,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.0,20.0,9
13,(512) Brewing Company,(512) ALT,German-Style Altbier,6.0,36.0,21
14,(512) Brewing Company,(512) Black IPA,Specialty Beer,7.5,70.0,41
15,(512) Brewing Company,(512) Bruin (A.K.A. Brown Bear),American-Style Brown Ale,7.6,30.0,21
16,(512) Brewing Company,(512) Cascabel Cream Stout,Sweet or Cream Stout,6.0,20.0,41
17,(512) Brewing Company,(512) FIVE,American-Style Imperial Stout,10.1,45.0,41
18,(512) Brewing Company,(512) FOUR,Strong Ale,7.5,35.0,8
19,(512) Brewing Company,(512) IPA,American-Style India Pale Ale,7.0,65.0,8
20,(512) Brewing Company,(512) ONE (2009),Belgian-Style Pale Strong Ale,8.0,22.0,8
21,(512) Brewing Company,(512) Pale,American-Style Pale Ale,6.0,30.0,7
22,(512) Brewing Company,(512) SIX,Belgian-Style Dubbel,7.5,25.0,28
23,(512) Brewing Company,(512) THREE,Belgian-Style Tripel,9.5,22.0,10
24,(512) Brewing Company,(512) THREE (Cabernet Barrel Aged),Belgian-Style Tripel,9.5,22.0,40
25,(512) Brewing Company,(512) TWO,Imperial or Double India Pale Ale,9.0,99.0,9
26,(512) Brewing Company,(512) Whiskey Barrel Double Pecan Porter,Wood- and Barrel-Aged Strong Beer,9.5,30.0,41
27,(512) Brewing Company,(512) White IPA,American-Style India Pale Ale,5.3,55.0,4
28,(512) Brewing Company,(512) Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.1,10.0,5
29,Engine 15 Brewing Company,(904) Weissguy,South German-Style Hefeweizen / Hefeweissbier,4.4,19.0,4
30,New Helvetia Brewing Company,(916),American-Style Pale Ale,5.2,35.0,8
31,Carrollwood Brewing Company,+1 Pumpkin,Pumpkin Beer,6.3,24.0,13
32,Wooden Legs Brewing Company,+353 Stout,Sweet or Cream Stout,5.1,27.9,41
33,Carton Brewing Co,077XX India Pale Ale,Imperial or Double India Pale Ale,7.8,80.0,5
34,Stone Brewing,08.08.08 Vertical Epic Ale,Belgian-Style Pale Ale,8.9,45.0,5
35,NoDa Brewing Company,10 Blocks South,American-Style Pale Ale,5.5,56.0,9
36,Warped Wing Brewing,10 Ton,Oatmeal Stout,7.0,30.0,34
37,Bubba Brew's Brewing Company,10-Point Bock,Traditional German-Style Bock,6.2,27.0,13
38,Rabbit Hole Brewing,10/6 English IPA,English-Style India Pale Ale,6.4,69.0,10
39,Harpoon Brewery,100 Barrel Series #54 Nordic Saison,French & Belgian-Style Saison,6.1,30.0,4
40,Big Beach Brewing,100 Daze IPA,American-Style India Pale Ale,7.0,69.0,7
41,Royal City Brewing Co.,100 STEPS STOUT,American-Style Stout,5.2,20.0,41
42,Fort Collins Brewery,1020 Pale Ale,American-Style Pale Ale,5.3,40.0,12
